HLbasSum1 Bassariscus_sumichrasti Bassariscus_sumichrasti_HiC.fasta.gz
HLpepEle1 Peponocephala_electra Peponocephala_electra_HiC.fasta.gz
HLsylBac1 Sylvilagus_bachmani Sylvilagus_bachmani_HiC.fasta.gz
HLequQuaBoe1 Equus_quagga Equus_quagga_HiC.fasta.gz
HLconTau2 Connochaetes_taurinus BWD_HiC.fasta.gz
HLmyoSep1 Myotis_septentrionalis myse_ont_racon_pilon_HiC.fasta.gz
HLcoePre1 Coendou_prehensilis Coendou_prehensilis_HiC.fasta.gz
HLlamGla1 Lama_glama Lama_glama_HiC.fasta.gz
HLmacFus1 Macaca_fuscata Macaca_fuscata_HiC.fasta.gz
HLursAme2 Ursus_americanus ASM334442v1_HiC.fasta.gz
HLphoPho2 Phocoena_phocoena Phocoena_phocoena_HiC.fasta.gz
HLpteBra2 Pteronura_brasiliensis Pteronura_brasiliensis_HiC.fasta.gz
HLpotFla1 Potos_flavus Potos_flavus_HiC.fasta.gz
HLpteRuf1 Pteropus_rufus Pteropus_rufus_HiC.fasta.gz
HLeulMon1 Eulemur_mongoz Eulemur_mongoz_HiC.fasta.gz
HLpseOcc1 Pseudocheirus_occidentalis Pseudocheirus_occidentalis_HiC.fasta.gz
HLpseCup1 Pseudochirops_cupreus Pseudochirops_cupreus_HiC.fasta.gz
HLperNas1 Peromyscus_nasutus Peromyscus_nasutus_10x_v1_HiC.fasta.gz
HLmirAng2 Mirounga_angustirostris Mirounga_angustirostris_HiC.fasta.gz
HLtapInd2 Tapirus_indicus Tapirus_indicus_HiC.fasta.gz
HLnasNar1 Nasua_narica Nasua_narica_HiC.fasta.gz
HLoryDam1 Oryx_dammah oryx.1_HiC.fasta.gz
HLpanOnc2 Panthera_onca Panthera_onca_HiC.fasta.gz
HLallNig1 Allenopithecus_nigroviridis Allenopithecus_nigroviridis_HiC.fasta.gz
HLpseCor1 Pseudochirops_corinnae Pseudochirops_corinnae_HiC.fasta.gz
HLailFul2 Ailurus_fulgens ASM200746v1_HiC.fasta.gz
HLrhiUni1 Rhinoceros_unicornis Rhinoceros_unicornis_HiC.fasta.gz
HLeubGla1 Eubalaena_glacialis Eubalaena_glacialis_HiC.fasta.gz
HLperCri1 Peromyscus_crinitus pecr10X_v2_HiC.fasta.gz
HLokaJoh2 Okapia_johnstoni ASM166083v1_HiC.fasta.gz
HLturAdu2 Tursiops_aduncus ASM322739v1_HiC.fasta.gz
HLeidDup1 Eidolon_dupreanum Eidolon_dupreanum_HiC.fasta.gz
HLbalEde1 Balaenoptera_ricei Balaenoptera_ricei_HiC.fasta.gz
HLeleMax1 Elephas_maximus Elephas_maximus_HiC.fasta.gz
HLcasCan3 Castor_canadensis C.can_genome_v1.0_HiC.fasta.gz
HLeriBar1 Erignathus_barbatus Erignathus_barbatus_HiC.fasta.gz
HLeulFla1 Eulemur_flavifrons Eflavifronsk33QCA_HiC.fasta.gz
HLneoNeb1 Neofelis_nebulosa Neofelis_nebulosa_HiC.fasta.gz
HLchoHof3 Choloepus_hoffmanni C_hoffmanni-2.0.1_HiC.fasta.gz
HLlycPic3 Lycaon_pictus__sis2-181106 sis2-181106_HiC.fasta.gz
HLgirCam2 Giraffa_camelopardalis ASM165123v1_HiC.fasta.gz
HLeidHel2 Eidolon_helvum ASM46528v1_HiC.fasta.gz
HLrouMad1 Rousettus_madagascariensis Rousettus_madagascariensis_HiC.fasta.gz
HLmyoLuc1 Myotis_lucifugus Myoluc2.0_HiC.fasta.gz
HLcalPym1 Cebuella_pygmaea Cebuella_pygmaea_HiC.fasta.gz
HLcryFer2 Cryptoprocta_ferox Cryptoprocta_ferox_HiC.fasta.gz
HLsaiBol1 Saimiri_boliviensis saiBolDis_HiC.fasta.gz
HLodoVir2 Odocoileus_virginianus Ovir.te_1.0_HiC.fasta.gz
HLodoRos1 Odobenus_rosmarus Oros_1.0_HiC.fasta.gz
