HLnomLeu4 GCA_006542625.1
HLhylMol2 GCA_009828535.2
HLtheGel1 GCA_003255815.1
HLmacFas6 GCA_012559485.1
HLcerMon1 GCA_014849445.1
HLpilTep2 GCA_002776525.3
HLpapAnu5 GCA_008728515.1
HLmanSph1 GCA_004802615.1
HLsemEnt1 GCA_004025065.1
HLtraFra1 GCA_009764315.1
HLrhiRox2 GCA_007565055.1
HLpygNem1 GCA_004024825.1
HLcerNeg1 GCA_004027615.1
HLeryPat1 GCA_004027335.1
HLpitPit1 GCA_004026645.1
HLateGeo1 GCA_004024785.1
HLpleDon1 GCA_004027715.1
HLaloPal1 GCA_004027835.1
HLsagImp1 GCA_004024885.1
HLcalJac4 GCA_011100555.1
HLsapApe1 GCA_009761245.1
HLcebAlb1 GCA_004027755.1
HLdauMad1 GCA_004027145.1
HLindInd1 GCA_004363605.1
HLeulFul1 GCA_004027275.1
HLlemCat1 GCA_004024665.1
HLproSim1 GCA_003258685.1
HLcheMed1 GCA_008086735.1
HLmirZaz1 GCA_008750895.1
HLmirCoq1 GCA_004024645.1
HLmicSpe31 GCA_008750915.1
HLmicTav1 GCA_008750935.1
HLnycCou1 GCA_004027815.1
HLgalVar2 GCA_004027255.2
HLpumCon1 GCA_003327715.1
HLpanPar1 GCA_001857705.1
HLpanOnc1 GCA_004023805.1
HLphoVit1 GCA_004348235.1
HLaciJub2 GCF_003709585.1
HLhalGry1 GCA_012393455.1
HLpriBen1 GCA_005406085.1
HLursThi1 GCA_009660055.1
HLlynPar1 GCA_900661375.1
HLmirLeo1 GCA_011800145.1
HLlynCan1 GCA_007474595.1
HLpanLeo1 GCA_008795835.1
HLcalUrs1 GCA_003265705.1
HLailMel2 GCA_002007445.2
HLzalCal1 GCA_009762305.1
HLeumJub1 GCA_004028035.1
HLpumYag1 GCA_014898765.1
HLursArc1 GCA_003584765.1
HLarcGaz2 GCA_900642305.1
HLursAme1 GCA_003344425.1
HLfelNig1 GCA_004023925.1
HLvulVul1 GCA_003160815.1
HLvulLag1 GCA_004023825.1
HLcanLupDin1 GCA_003254725.1
HLlycPic2 GCA_004216515.1
HLcroCro1 GCA_008692635.1
HLhyaHya1 GCA_003009895.1
HLparHer1 GCA_004024585.1
HLmarZib1 GCA_012583365.1
HLgulGul1 GCA_900006375.2
HLspiGra1 GCA_004023965.1
HLtaxTax1 GCA_003697995.1
HLmelCap1 GCA_004024625.1
HLsurSur2 GCA_004023905.1
HLsurSur1 GCA_006229205.1
HLmunMug1 GCA_004023785.1
HLhelPar1 GCA_004023845.1
HLlonCan1 GCA_010015895.1
HLpteBra1 GCA_004024605.1
HLlutLut1 GCA_902655055.1
HLmusErm1 GCA_009829155.1
HLneoVis1 GCA_900108605.1
HLmusPut1 GCA_902460205.1
HLmusFur2 GCA_011764305.1
HLtapTer1 GCA_004025025.1
HLtapInd1 GCA_004024905.1
HLdicBic1 GCA_004027315.2
HLdicSum1 GCA_002844835.1
HLcerSimCot1 GCA_004027795.1
HLequAsi1 GCA_001305755.1
HLequAsiAsi2 GCA_003033725.1
HLmanTri1 GCA_004765945.1
HLmanPen2 GCA_014570555.1
HLmanJav1 GCA_001685135.1
HLmanJav2 GCA_014570535.1
HLsolPar1 GCA_004363575.1
HLscaAqu1 GCA_004024925.1
HLtalOcc1 GCA_014898055.1
HLuroGra1 GCA_004024945.1
HLbalBon1 GCA_000978805.1
HLescRob1 GCA_004363415.1
HLphyCat2 GCA_002837175.2
HLdelLeu2 GCA_002288925.3
HLhipAmp3 GCA_004027065.2
HLhipAmp1 GCA_002995585.1
HLphoPho1 GCA_004363495.1
HLcamFer3 GCA_009834535.1
HLcamBac1 GCA_000767855.1
HLsouChi1 GCA_007760645.1
HLcamDro2 GCA_000803125.3
HLturTru4 GCA_011762595.1
HLturAdu1 GCA_003227395.1
HLturTru3 GCA_001922835.1
HLgirTip1 GCA_001651235.1
HLbubBub2 GCA_003121395.1
HLbosInd2 GCA_002933975.1
HLbosMut2 GCA_007646595.3
HLtraStr1 GCA_006410795.1
HLammLer1 GCA_002201775.1
HLcapHir2 GCA_001704415.1
HLcapAeg1 GCA_000765075.1
HLodoVir3 GCA_014726795.1
HLoviCan2 GCA_004026945.1
HLoviAri5 GCA_011170295.1
HLelaDav1 GCA_002443075.1
HLoviAmm1 GCA_003121645.1
HLeubJap1 GCA_004363455.1
HLmegNov1 GCA_004329385.1
HLbalPhy1 GCA_008795845.1
HLbalMus1 GCA_009873245.1
HLmesBid1 GCA_004027085.1
HLplaMin1 GCA_004363435.1
HLzipCav1 GCA_004364475.1
HLlniGeo1 GCA_004363515.1
HLmonMon1 GCA_005190385.2
HLneoAsi1 GCA_003031525.1
HLkogBre1 GCA_004363705.1
HLphoSin1 GCA_008692025.1
HLponBla1 GCA_011754075.1
HLvicPacHua3 GCA_000767525.1
HLgloMel1 GCA_006547405.1
HLlagObl1 GCA_003676395.1
HLvicVicMen1 GCA_013265495.1
HLlamGuaCac1 GCA_013239625.1
HLlamGlaCha1 GCA_013239585.1
HLcatWag1 GCA_004024745.2
HLgirCam1 GCA_006408565.1
HLsynCaf1 GCA_902500845.1
HLmosBer1 GCA_006459085.1
HLmosMos1 GCA_004024705.2
HLmosChr1 GCA_006461725.1
HLcerHanYar1 GCA_010411085.1
HLbosGau1 GCA_014182915.1
HLbosFro1 GCA_007844835.1
HLprzAlb1 GCA_006408465.1
HLhipEqu1 GCA_016433095.1
HLcepHar1 GCA_006410635.1
HLhipNig1 GCA_006942125.1
HLbosGru1 GCA_005887515.2
HLsylGri1 GCA_006408735.1
HLphiMax1 GCA_006410695.1
HLoryGaz1 GCA_003945745.1
